Name,Title,Total Episodes,Rating (0-10),Genres,Tags,Status,Source,Start Date,End Date,Duration (mins),Studio,Popularity,Description,ImageURL,Link,Note,My rating,Finished?,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Attack on titan,Attack on Titan,87,8.6,"Action, Drama, Fantasy, Mystery, Psychological","Survival, Kaiju, Revenge, Military, Tragedy, Shapeshifting, Anti-Hero, Post-Apocalyptic, Male Protagonist, Primarily Teen Cast, Politics, Dystopian",Finished,Manga,2013-04-07,2022-04-04,24,"WIT STUDIO, MAPPA",1034573,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind. (Source: MangaHelpers)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx16498-buvcRTBx4NSm.jpg,https://anilist.co/anime/16498,Combined 6 TV seasons,10,Yes,,,,,,,
Jujutsu kaisen,JUJUTSU KAISEN,59,8.5,"Action, Drama, Supernatural","Urban Fantasy, Curses, Urban, Shounen, Death Game, Super Power, Battle Royale, Exorcism, Youkai, Male Protagonist, Magic, Primarily Teen Cast",Finished,Manga,2020-10-03,2026-03-27,24,MAPPA,952431,"A boy fights... for ""the right death."" Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse. Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojou Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back. (Source: Crunchyroll) Note: The first episode received an early web premiere on September 19th, 2020. The regular TV broadcast started on October 3rd, 2020.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx113415-LHBAeoZDIsnF.jpg,https://anilist.co/anime/113415,Combined 3 TV seasons,10,Yes,,,,,,,
Death Note,Death Note,37,8.4,"Mystery, Psychological, Supernatural, Thriller","Crime, Detective, Anti-Hero, Fugitive, Male Protagonist, Police, Philosophy, Primarily Adult Cast, Noir, Gods, Urban Fantasy, Urban",Finished,Manga,2006-10-04,2007-06-27,23,MADHOUSE,943235,"Light Yagami is a genius high school student who is about to learn about life through a book of death. When a bored shinigami, a God of Death, named Ryuk drops a black notepad called a Death Note , Light receives power over life and death with the stroke of a pen. Determined to use this dark gift for the best, Light sets out to rid the world of evil… namely, the people he believes to be evil. Should anyone hold such power? The consequences of Light’s actions will set the world ablaze. (Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1535-kUgkcrfOrkUM.jpg,https://anilist.co/anime/1535,Combined 1 TV season,10,Yes,,,,,,,
Solo levelling [anilist:151807],Solo Leveling,25,8.3,"Action, Adventure, Fantasy","Urban Fantasy, Dungeon, Male Protagonist, Super Power, Magic, Necromancy, Cultivation, Survival, Swordplay, Gore",Finished,Other,2024-01-07,2025-03-30,24,A-1 Pictures,432608,"They say whatever doesn’t kill you makes you stronger, but that’s not the case for the world’s weakest hunter Seong Jin-U. After being brutally slaughtered by monsters in a high-ranking dungeon, Jin-U came back with the System, a program only he could see, that’s leveling him up in every way. Now, he’s inspired to discover the secrets behind his powers and the dungeon that spawned them. (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx151807-it355ZgzquUd.png,https://anilist.co/anime/151807,Forced AniList ID 151807; combined 2 TV seasons,10,Yes,,,,,,,
Naruto shippuden,Naruto: Shippuden,500,8.2,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural","Ninja, Shounen, Criminal Organization, Male Protagonist, Super Power, Revenge, Orphan, Martial Arts, Coming of Age, Conspiracy, Philosophy, Cultivation",Finished,Manga,2007-02-15,2017-03-23,23,Studio Pierrot,599327,"Naruto: Shippuuden is the continuation of the original animated TV series Naruto. The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as he has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki. (Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1735-kGfVm0YqCPcu.png,https://anilist.co/anime/1735,Matched AniList ID 1735; single AniList entry only,10,Yes,,,,,,,
Demon Slayer [anilist:101922],Demon Slayer: Kimetsu no Yaiba,63,8.3,"Action, Adventure, Drama, Fantasy, Supernatural, Mystery","Demons, Shounen, Swordplay, Male Protagonist, Cultivation, Oiran, Tragedy, Super Power, Vampire, Curses, Gore, Travel",Finished,Manga,2019-04-06,2024-06-30,25,ufotable,977143,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family. (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx101922-WBsBl0ClmgYL.jpg,https://anilist.co/anime/101922,Forced AniList ID 101922; combined 5 TV seasons,10,Yes,,,,,,,
Death Parade,Death Parade,12,8,"Drama, Mystery, Psychological, Supernatural, Thriller","Death Game, Philosophy, Amnesia, Bar, Primarily Adult Cast, Episodic",Finished,Original,2015-01-10,2015-03-28,23,MADHOUSE,461084,"When two people die at the same time, they’re sent to a place that’s neither heaven nor hell—a lavish bar between worlds where the stakes are high and the rules are simple: if you win you live again, if you die… you’re gone for good. Decim is the bartender charged with serving the souls who enter Quindecim. He may make a mean cocktail, but his true profession is to play the role of arbiter—a judge who determines whether or not a soul is worthy of reincarnation. To aid in his judgment, the bar’s patrons are forced to play simple games laced with sadistic twists designed to bring their true natures to light. To Decim, judgment has always been black and white—that is—until he meets a mysterious young woman whose fate seems impossible to decide. His indecision shakes the very foundation of the games and raises the biggest question of all: Who is fit to judge the dead? (Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx20931-bktYqOcxPERi.jpg,https://anilist.co/anime/20931,Combined 1 TV season,10,Yes,,,,,,,
Bleach 1000 year war [anilist:116674],BLEACH: Thousand-Year Blood War,50,8.8,"Action, Adventure, Supernatural","War, Swordplay, Shounen, Super Power, Male Protagonist, Gore, Afterlife, Body Horror",Finished,Manga,2022-10-11,2022-12-27,24,Studio Pierrot,200168,"Was it all just a coincidence, or was it inevitable? Ichigo Kurosaki gained the powers of a Soul Reaper through a chance encounter. As a Substitute Soul Reaper, Ichigo became caught in the turmoil of the Soul Society, a place where deceased souls gather. But with help from his friends, Ichigo overcame every challenge to become even stronger. When new Soul Reapers and a new enemy appear in his hometown of Karakura, Ichigo jumps back into the battlefield with his Zanpakuto to help those in need. Meanwhile, the Soul Society is observing a sudden surge in the number of Hollows being destroyed in the World of the Living. They also receive separate reports of residents in the Rukon District having gone missing. Finally, the Seireitei, home of the Soul Reapers, comes under attack by a group calling themselves the Wandenreich. Led by Yhwach, the father of all Quincies, the Wandenreich declare war against the Soul Reapers with the following message: ""Five days from now, the Soul Society will be annihilated by the Wandenreich."" The history and truth kept hidden by the Soul Reapers for a thousand long years is finally brought to light. All things must come to an end as Ichigo Kurosaki's fi...",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx116674-p3zK4PUX2Aag.jpg,https://anilist.co/anime/116674,Forced AniList ID 116674; single AniList entry only,9.9,Yes,,,,,,,
JoJo's bizarre adventure,JoJo's Bizarre Adventure (TV),152,8.2,"Action, Adventure, Supernatural, Drama, Mystery","Super Power, Criminal Organization, Mafia, Male Protagonist, Primarily Male Cast, Gangs, Urban Fantasy, Foreign, Travel, Shounen, Surreal Comedy, Urban",Finished,Manga,2012-10-06,2019-07-28,24,david production,470135,"Beginning its tale in 19th century England, young aristocrat Jonathan Joestar finds himself locked in bitter rivalry with Dio Brando, a low-born boy who Jonathan's father took under his wing after the death of Dio's father. Discontent with his station in life, Dio's fathomless lust to reign over all eventually leads him to seek the supernatural powers of an ancient Aztec stone mask in the Joestar's possession—an artifact that will forever change the destiny of Dio and Jonathan for generations to come. Fifty years later, in 1938 New York City, Jonathan's grandson Joseph Joestar must take up his grandfather's mission and master the abilities necessary to destroy the stone mask and its immensely powerful creators who threaten humanity's very existence, the Pillar Men. (Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx14719-VT5dRzTBSZ0w.jpg,https://anilist.co/anime/14719,Combined 5 TV seasons,9.8,Yes,,,,,,,
My hero Academia,My Hero Academia,170,7.9,"Action, Adventure, Comedy, Drama, Sci-Fi","Superhero, Super Power, Shounen, Primarily Teen Cast, War, Male Protagonist, Crime, School, Urban Fantasy, Terrorism, Ensemble Cast, Cultivation",Finished,Manga,2016-04-03,2025-12-13,24,"bones, bones film",859995,"What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless? Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all gives him a chance to change his destiny… (Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21459-nYh85uj2Fuwr.jpg,https://anilist.co/anime/21459,Combined 8 TV seasons,9.8,Yes,,,,,,,
